;SAB;FBA;PBA;TO;PoO;PoNP;PrNP;RPC;PrSN;PrSNT;hypoxia_tolerance;parental_care
Poecilia_vivipara;0.03;0.96;1.06;0.59;1.04;0.43;4.58;1.55;0.33;11685.85;0;4
Astyanax_bimaculatus;0.13;0.84;0.6;0.5;0.69;0.13;8.09;1.63;0.39;2668.37;1;1
Cichlasoma_orientale;0.13;1.16;0.38;0.49;0.72;0.3;6.15;1.48;0.71;56823.69;0;6
Serrapinnus_heterodon;0.12;1.75;0.7;0.49;0.79;0.17;6.34;2.36;0.29;1890.75;0;1
Oreochromis_niloticus;0.2;1.24;0.45;0.45;0.7;0.35;4.56;1.34;1.01;25005.99;1;6
Hoplias_malabaricus;0.19;1.31;0.72;0.53;0.86;0.18;5.26;0.91;0.34;14582.07;1;2
Steindachnerina_notonota;0.09;0.77;0.75;0.64;0.81;0.11;7.2;1.63;0.26;26872.64;0;1
Phenacogaster_calverti;0.15;1.19;0.61;0.67;0.78;0.18;7.16;2.27;0.35;2880.96;0;1
Compsura_heterura;0.16;1.25;0.62;0.52;0.69;0.13;8.58;2.09;0.21;1514.94;0;1
Astyanax_fasciatus;0.22;1.24;0.79;0.58;0.69;0.12;8.7;2.22;0.3;4619.94;1;1
Serrapinnus_piaba;0.11;1.59;0.68;0.53;0.8;0.15;6.59;2.37;0.28;1973.92;0;1
Hemigrammus_spp;0.15;1.25;0.59;0.56;0.61;0.14;9.61;1.71;0.28;1195.97;0;1
Prochilodus_brevis;0.16;1.03;0.51;0.56;0.58;0.1;5.92;2.62;0.4;207884.59;0;1
Hypostomus_spp;0.08;0.37;0;0.3;0.76;0;3.56;1.94;1.01;30277.14;1;1
Trachelyopterus_galeatus;0.41;0.53;0.35;0.22;0.54;0;4.39;1.1;0.67;28091.69;1;1
Crenicichla_menezesi;0.26;1.72;0.48;0.58;0.73;0.44;4.68;1.64;0.55;8262.75;0;6
Characidum_bimaculatum;0.11;1.6;0.7;0.55;0.57;0.15;8.31;1.24;0.51;1068.94;0;1
Leporinus_piau;0.11;1.14;0.48;0.61;0.54;0.16;3.91;1.37;0.41;5781.96;0;1
Parotocinclus_cearensis;0.07;0.58;0;0.37;0.75;0;3.86;1.44;1.29;2308.75;1;1
